KIC,P12,G,2MASS,GLAT,GLON,Teffc,e_Teffc,Teff,e_Teff,Dnu,e_Dnu,numax,e_numax,Notes,Teff1,e_Teff1,[M/H]1,e_[M/H]1,M1,E_M1,e_M1,R1,E_R1,e_R1,log.g1,E_log.g1,e_log.g1,rho1,E_rho1,e_rho1,Teff2,e_Teff2,[M/H]2,e_[M/H]2,M2,E_M2,e_M2,R2,E_R2,e_R2,log.g2,E_log.g2,e_log.g2,rho2,E_rho2,e_rho2,_RA,_DE
9637054,1,0,J19022724+4622209,76.664,17.491,4852,91,4677,85,4.48,0.11,43.28,0.91,PUBLIC                                       ,4558,87,-0.08,0.06,1.52,0.16,0.14,11.09,0.48,0.45,2.529,0.011,0.01,0.00111,0.00004,0.00004,4620,87,-0.07,0.06,1.55,0.17,0.15,11.18,0.51,0.46,2.531,0.01,0.01,0.00111,0.00004,0.00004,285.61353,46.372478
9818513,1,1,J19011890+4638120,76.849,17.769,4808,88,4626,82,3.83,0.08,32.24,1.12,"GOLD,KASC,PUBLIC                             ",4411,70,0.35,0.04,1.12,0.14,0.13,11.16,0.53,0.47,2.392,0.015,0.015,0.00081,0.00003,0.00003,4512,70,0.48,0.04,1.14,0.16,0.14,11.24,0.58,0.52,2.394,0.017,0.015,0.00081,0.00003,0.00003,285.32877,46.636669
9818604,1,1,J19013388+4639433,76.89,17.738,4553,96,4406,90,3.48,0.07,30.21,0.63,"GOLD,KASC,PUBLIC                             ",4268,72,0.29,0.04,1.29,0.13,0.12,12.42,0.47,0.46,2.359,0.01,0.01,0.00067,0.00002,0.00002,4407,72,0.42,0.04,1.35,0.13,0.13,12.65,0.5,0.5,2.363,0.01,0.011,0.00067,0.00002,0.00002,285.3912,46.662048
9758246,1,0,J19012622+4633000,76.772,17.718,4685,88,4524,82,2.8,0.06,22.51,0.87,PUBLIC                                       ,4374,91,-0.19,0.06,1.28,0.19,0.19,14.33,0.75,0.82,2.23,0.018,0.02,0.00043,0.00001,0.00001,4485,91,-0.18,0.06,1.35,0.2,0.19,14.62,0.77,0.77,2.237,0.018,0.018,0.00043,0.00001,0.00001,285.35925,46.549999
9697214,1,0,J19003068+4624373,76.575,17.817,5055,94,4881,88,4.22,0.09,36.65,1.86,PUBLIC                                       ,4870,93,-0.23,0.06,1.29,0.24,0.24,10.98,0.7,0.8,2.468,0.023,0.028,0.00098,0.00003,0.00003,4850,93,-0.28,0.06,1.28,0.23,0.21,10.95,0.69,0.69,2.467,0.022,0.024,0.00098,0.00003,0.00003,285.12787,46.410381
9451434,1,1,J19000443+4604438,76.221,17.769,4832,82,4654,76,3.52,0.09,27.72,0.77,"GOLD,KASC,PUBLIC                             ",4497,87,-0.07,0.06,1.03,0.13,0.1,11.46,0.56,0.44,2.331,0.013,0.012,0.00068,0.00003,0.00003,4575,87,-0.05,0.06,1.06,0.13,0.11,11.59,0.59,0.49,2.334,0.012,0.012,0.00068,0.00003,0.00003,285.01846,46.07885
9574730,1,0,J19001036+4617553,76.443,17.832,4965,80,4870,77,4.83,0.13,48.07,1.57,"GO,RC,PUBLIC                                 ",4642,80,0.09,0.05,1.59,0.2,0.21,10.74,0.49,0.56,2.575,0.015,0.015,0.00128,0.00005,0.00005,4682,80,0.13,0.05,1.67,0.16,0.25,11.02,0.32,0.73,2.579,0.014,0.016,0.00127,0.00005,0.00004,285.04318,46.29871
9451999,1,0,J19012833+4602084,76.27,17.528,5144,95,4936,87,4.23,0.08,34.11,0.91,"GO,RC,PUBLIC                                 ",4788,97,-0.34,0.07,1.01,0.12,0.1,10.11,0.44,0.41,2.434,0.013,0.012,0.00098,0.00003,0.00003,4789,97,-0.4,0.07,1.02,0.12,0.11,10.12,0.44,0.42,2.435,0.012,0.013,0.00098,0.00003,0.00003,285.36804,46.03569
9574650,1,1,J18595862+4614302,76.375,17.843,5049,85,4860,79,9.52,0.19,105.72,2.05,"GOLD,KASC,GO,SEIS_INTEREST,PUBLIC            ",4753,96,-0.32,0.07,1.17,0.11,0.1,6.15,0.23,0.23,2.927,0.01,0.01,0.00502,0.00014,0.00014,4764,96,-0.37,0.07,1.18,0.11,0.11,6.16,0.24,0.23,2.928,0.01,0.01,0.00501,0.00015,0.00015,284.99429,46.24173
9635490,1,0,J18584305+4623533,76.447,18.102,4484,69,4323,65,2.18,0.05,15.55,0.57,PUBLIC                                       ,4243,92,-0.21,0.06,1.09,0.16,0.15,16.08,0.87,0.84,2.064,0.018,0.018,0.00026,0.00001,0.00001,4389,92,-0.18,0.06,1.18,0.16,0.16,16.5,0.83,0.89,2.073,0.017,0.018,0.00026,0.00001,0.00001,284.67941,46.398151
