Inference for Stan model: anon_model_da9d43ec9f02d0266a58a977075d376a.
4 chains, each with iter=15000; warmup=7500; thin=1; 
post-warmup draws per chain=7500, total post-warmup draws=30000.

              mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
al_std[12]  -0.016   0.008   0.06 -0.145 -0.052 -0.012  0.024  0.094   62.0  1.047
al_std[13]   0.335   0.009  0.123  0.103  0.254   0.33  0.409  0.597  181.0  1.016
al_std[14]    0.09   0.008   0.07 -0.051  0.045  0.091  0.136  0.226   78.0  1.035
al_std[15]   0.048   0.008  0.064 -0.085  0.009  0.052   0.09  0.168   64.0  1.045
al_std[16]   0.074   0.008  0.066 -0.063  0.032  0.077  0.118  0.197   67.0  1.045
al_std[17]   0.116   0.009  0.075 -0.035  0.065  0.116  0.166  0.262   77.0  1.046
al_std[18]  -0.016   0.008  0.065 -0.155 -0.057 -0.013  0.027  0.105   73.0  1.027
al_std[19]   0.083   0.008  0.076 -0.068  0.032  0.084  0.132  0.233   85.0  1.019
al_std[20]   0.088   0.008  0.085 -0.078  0.031  0.088  0.144  0.259  106.0  1.026
al_std[21]   0.201   0.009  0.086  0.037  0.144  0.199  0.254  0.376   96.0  1.022
al_std[22]    0.09   0.008   0.08 -0.074  0.038  0.093  0.144  0.242  102.0  1.028
al_std[23]   0.141   0.008  0.076  -0.01  0.092  0.142  0.191  0.293   80.0  1.035
al_std[24]   0.057   0.008  0.072  -0.09   0.01  0.059  0.106  0.195   76.0  1.035
al_std[25]   0.094   0.008  0.072 -0.053  0.047  0.094  0.141  0.236   84.0  1.025
al_std[26]   0.115   0.008  0.071 -0.027  0.068  0.116  0.163  0.254   74.0  1.039
al_std[27]   0.019   0.008  0.073 -0.128 -0.028   0.02  0.065  0.163   83.0   1.03
al_std[28]    0.21   0.009   0.09  0.037  0.151  0.208  0.269  0.391  104.0   1.03
al_std[29]   0.039    0.01  0.071 -0.104 -0.007  0.041  0.087  0.175   49.0  1.085
