,KIC,dnu,numax,epsilon,alpha,A,G,phi,tau,met,mass,logage
171,6843557,4.82532709721,48.2602410194,0.0601949832685,0.011625871478600001,0.026398086732200003,2.64008717888,1.63104289435,8.998320835369999,0.209,1.47,3.511
172,3526061,10.6996819095,130.122889632,0.23390262173300003,0.0087982962693,0.0160817371804,2.96573915204,2.60457226813,9.20498352782,0.224,1.274,3.725
173,11251136,3.19577922389,29.2615544762,0.00129886341167,0.017203361374599997,0.0381047869442,2.33507413219,1.58472825283,9.538834568210001,0.095,1.68,3.276
174,6681414,4.5654442583199994,39.941135691999996,0.0832669707715,0.0145533237184,0.0260958541536,2.38168142625,1.05882938312,9.65969182723,-0.142,1.007,3.97
175,10226276,6.04581374641,61.9105006434,0.110333263971,0.013160389025,0.0172343106213,2.68080348118,2.22353353582,9.86087016334,0.155,1.211,3.789
176,11084022,4.646830497190001,44.963835529399994,0.0707542960545,0.0103977064552,0.027524843525000002,2.1831711752,2.75776171496,9.85982984298,0.029,1.344,3.606
177,11621486,4.02681203587,36.2586528642,0.0165260542861,0.0149071150086,0.030365599080500003,2.52538482285,1.2289350863600002,9.82556020883,-0.271,1.351,3.504
178,11250139,4.586595641690001,39.8245605228,0.0755033064455,0.0165660435596,0.022623590776400002,2.5276511629400003,1.6363826791999998,8.50660777161,-0.313,0.981,3.976
179,4041405,2.5639717483,18.808899992,-0.047883042789400004,0.0200121196268,0.0429072027326,2.38842708233,1.61217322803,9.53444211116,-0.438,0.962,3.944
180,9205705,3.17061896051,25.6687967055,-0.08343488672760001,0.0401233583302,0.0856149018267,3.64819761805,-0.213596515268,,-0.285,1.122,3.776
181,10145279,3.55028992791,30.9501870645,0.0379372097361,0.013111942808100002,0.0305839129511,3.04750934384,0.36848273930799996,10.9780748399,-0.232,1.31,3.549
182,5689606,3.9706938697099994,44.8831752413,-0.49896457483400003,-0.0520659052351,0.30393507984,4.84492666394,-0.055270439556800006,,0.051,1.629,3.312
183,9028321,4.718217158580001,46.7114343142,0.0762534362615,0.016094494206600002,0.023638193218999997,3.09872713051,1.62837923629,11.820966495999999,0.143,1.455,3.512
184,4545474,3.88174610648,37.9376136741,0.042224483592400004,0.01542525264,0.0296770772592,3.8191945736900004,0.722392852646,7.58984919115,0.271,1.603,3.389
185,6851499,5.613041269480001,52.535496309399996,0.11377364001800001,0.014251887275799999,0.026505282168799996,2.38427741635,1.6406295470200003,9.52515771226,-0.163,1.005,3.985
186,10123207,13.687710806199998,161.152530085,0.254871309477,0.00989782538,0.0119424334259,2.74778236363,3.0616486426,9.773159711289999,-0.414,0.968,3.965
187,6181896,6.48496429493,70.49413227560001,0.0901333083405,0.011569383284,0.024142558868,2.73164204923,2.2136606238799996,4.15606456211,-0.346,1.635,3.192
188,10257278,12.167394314300001,149.621236386,0.258377320167,0.00822194565887,0.0114091872808,3.07965760308,2.53120590752,4.096287242180001,-0.015,1.24,3.683
189,5858947,14.5724689044,170.425185373,0.251842972604,0.00969745839525,0.007366186281759999,2.98949774574,3.20528173246,10.944880209,-0.809,0.946,3.897
190,12005162,12.902273319,160.635454444,0.249556564348,0.00961606198689,0.00980116591628,3.1850446515599997,2.66406402703,9.61619802739,-0.115,1.264,3.621
191,11869095,5.3575406785,56.0686895554,0.11462902159000002,0.011144137555,0.0257913856898,3.02529943176,0.8755376982459999,5.35580320744,0.3,1.558,3.437
192,4543229,3.15420584735,25.4222083425,-0.0233616828625,0.0212219413501,0.0368650336646,2.1064309211400003,1.7417895018599998,10.6970483559,-0.16,1.053,3.907
193,3642038,4.25329161063,40.6715572584,0.0563181648885,0.0156580314579,0.0286013856687,3.0446771443299996,1.36312283629,7.50377685976,-0.084,1.484,3.418
194,8285510,3.07884611384,24.496984486,-0.00146865357572,0.017153049935299997,0.0378238422755,2.1815414488,1.25826317544,9.18346794326,-0.306,1.134,3.734
195,6144777,10.984097786300001,129.714056999,0.247322196932,0.009466227356870001,0.0134786649856,2.89611698961,2.3435529488499998,9.21535027509,0.167,1.13,3.893
196,8677342,5.20189742836,52.4997185999,0.0954599167354,0.0112940218381,0.024647097897099998,2.69265552452,1.82641314009,9.376230453589999,-0.042,1.405,3.506
197,8742545,12.3019319674,143.47740057200002,0.239399597993,0.0110945998829,0.0133178264561,3.20158650707,2.54575487399,9.399546830610001,-0.221,1.051,3.874
198,9967351,5.698401152459999,60.3163566747,0.0946876621326,0.0130223735549,0.025398620536099998,2.7417873573100002,1.8601966299700001,9.37642999097,-0.112,1.651,3.234
199,9640886,3.95859314292,35.0448458428,0.021248534290999998,0.0146992791081,0.0276139633044,2.30175469253,0.7689336789,10.7981787684,0.194,1.148,3.885
200,10614602,2.58405468918,18.3648029065,-0.597511141359,0.0630231053517,0.211846697643,5.495572967849999,-3.5341778279900002,,-0.319,1.205,3.638
201,2831788,5.46302231896,54.5349266054,0.0952423584715,0.013415278712500001,0.0218270670742,2.77086318946,2.0050756470400004,7.4052462926,0.13,1.25,3.733
202,11308784,6.1558098145099995,62.1591848434,0.130740785001,0.0139784551153,0.020471788778400002,2.97146291748,1.8853757267099998,10.4909407885,-0.161,1.228,3.672
203,10610250,12.6042568149,153.974893771,0.26329769393,0.00951246024782,0.0172831915513,2.8208473793700004,2.66388971094,7.1171979295700005,0.213,1.103,3.949
204,2437507,2.58712272983,20.5703209398,-0.14411698886399998,0.0593860268743,0.489093103628,1.8034173489400003,-2.9848303587199996,,0.453,1.15,3.927
205,8565016,6.05937367739,61.5001419037,0.11748915092000001,0.013918116545799998,0.023365273248,2.58908082112,2.44582530537,10.2977512831,0.243,1.175,3.862
206,7619745,13.1086202805,170.95469962200002,0.272997914024,0.00629088222159,0.012239601804799998,2.83824013638,2.55734743498,10.0764085403,-0.022,1.405,3.496
207,9228469,9.22252982439,105.936179495,0.19574324718400002,0.009841924089899999,0.017129524160700002,3.07695253713,2.0398221673299997,8.6273044195,-0.273,1.312,3.542
208,9335518,9.1030271674,104.227658012,0.217074953321,0.010233819302200001,0.0160596292863,3.1445995829299997,1.86431699525,10.4800411319,0.333,1.176,3.874
209,10881810,11.9027649701,149.796228589,0.2204336212,0.00993288896409,0.010723515683899999,3.61483200085,2.5378503977,8.856379844800001,-0.031,1.35,3.558
210,9143834,2.35502281945,15.8014178631,-0.5319835912259999,0.156147498592,0.183324513642,5.42782650505,-4.50317316769,,-0.436,0.931,4.021
211,10202184,12.740803401700001,160.143130847,0.255279577331,0.009326952027540001,0.011782762625500001,3.2612834331700005,2.75373186354,9.594940376819999,-0.177,1.255,3.633
212,9728284,4.89994469426,47.4425018233,0.0617081801537,0.015574587688599999,0.0274744215989,2.7607705464700003,1.8908801145599996,6.90317377003,-0.025,1.288,3.636
