Inference for Stan model: anon_model_36d21e616971c881d1e45dd863be4cb0.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                  mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
phi[22]          0.813   0.817  2.093 -3.159 -0.313  0.784  2.008  4.791    7.0  1.521
phi[23]          3.579   0.035  0.929  1.743  2.957  3.589  4.197  5.474  688.0  1.006
phi[24]          2.835     1.0   1.65 -0.689  1.755  3.261  4.046  5.221    3.0  1.911
phi[25]         -2.057   1.979  3.494 -6.122 -5.014  -2.86  0.406  5.652    3.0  1.953
phi[26]          -0.01   0.156  3.598 -5.935 -3.099  0.067  3.141  5.865  534.0  1.009
phi[27]          3.415   0.028  0.847  1.757  2.846  3.415  3.994  5.055  906.0  1.002
phi[28]          3.654   0.025  0.748  2.161  3.151  3.669   4.16   5.11  930.0  1.007
phi[29]           3.54   0.032    0.9  1.763  2.934  3.548  4.159  5.289  792.0  1.001
phi[30]           3.96   0.959  1.532  0.663  3.052  4.416   5.09  6.012    3.0   2.14
phi[31]          5.165   0.011  0.314  4.606  4.953  5.142  5.358  5.855  800.0  1.005
phi[32]          1.934   0.004  0.108  1.723   1.86  1.934  2.007  2.147  643.0  1.006
phi[33]         -0.725    0.09  1.791 -4.039 -1.872 -0.857  0.314  3.278  392.0  1.005
phi[34]          3.075   0.696  1.539  0.063   1.89   3.17  4.315  5.654    5.0  1.416
phi[35]          3.236   0.002  0.056  3.127  3.198  3.236  3.274  3.345   1055  1.002
phi[36]          3.899   0.953  1.535  0.575  2.974  4.355  5.037  5.996    3.0  2.083
phi[37]          3.892   0.005  0.187  3.526  3.768   3.89  4.014  4.268   1536  1.002
phi[38]          0.196   0.392  1.444 -1.875 -0.707 -0.097  0.737  4.148   14.0  1.135
phi[39]          4.438   0.007  0.231   3.98  4.283   4.44  4.596  4.883   1102  1.003
phi[40]          2.937   0.709  1.247  0.043   2.31  3.199  3.804  4.822    3.0  1.672
phi[41]          0.282   0.197  3.539 -5.924 -2.709  0.507  3.239   5.94  322.0  1.009
phi[42]          3.512   0.036  0.926  1.708    2.9  3.514  4.113   5.39  674.0  1.007
phi[43]          3.424   0.021  0.418  2.527  3.172  3.442    3.7  4.203  389.0   1.02
phi[44]          3.232   0.002  0.058  3.117  3.193  3.233  3.271  3.345   1137  1.006
phi[45]          2.315   0.017   0.59   1.21  1.927   2.29  2.677  3.577   1152  1.002
phi[46]         -1.011   1.216  1.894 -3.688 -2.864 -0.819  0.463   2.26    2.0  2.449
phi[47]           3.58   0.969  1.386  0.925  2.843  4.268  4.468   4.79    2.0  6.505
phi[48]          0.442   1.931  2.761 -1.892  -1.34 -0.975  2.446  5.755    2.0  6.557
phi[49]          3.929   0.978  1.553  0.544  2.989  4.401  5.053  6.041    3.0  2.165
phi[50]          0.098   0.708   3.53 -5.848 -2.852  0.002  3.141   5.89   25.0  1.149
phi[51]         -1.091   0.023   0.62 -2.257  -1.51 -1.114 -0.696  0.179  709.0  1.007
phi[52]          1.758   2.257  3.341 -3.929 -1.423  1.747  4.858  6.234    2.0  3.448
phi[53]         -0.124   0.316  3.806 -6.113 -3.383  -0.19   3.15   6.09  145.0  1.032
phi[54]         -0.664   2.173  3.125  -5.45 -3.555 -0.724  1.637  4.381    2.0   5.46
phi[55]         -0.641   0.821  3.652 -5.924  -4.81 -0.289  3.034  4.666   20.0  1.242
phi[56]          1.904   0.947  1.598 -0.634  0.764  1.553  2.951  5.223    3.0   1.82
phi[57]          3.706   0.029  0.775  2.198  3.183  3.704  4.222  5.223  724.0  1.013
phi[58]          3.453   0.022  0.683  2.134   2.99  3.443  3.904  4.836  942.0  1.011
phi[59]          0.076   1.148  3.539 -5.587 -3.283  0.302  2.751  6.086    9.0  1.601
phi[60]          3.592   0.329  0.924  1.863   2.92   3.58  4.238  5.455    8.0  1.194
phi[61]           3.38   0.734  1.854 -0.436  1.854  3.952  4.758  6.028    6.0  1.621
phi[62]         -0.203   2.224  3.156 -3.816 -3.344 -0.247   2.94  3.398    2.0 11.896
G[1]             2.316   0.004   0.16  2.093  2.197   2.29  2.407  2.697   1280  1.006
G[2]             3.182   0.012  0.377   2.51   2.93  3.153  3.406  4.007   1026  1.002
G[3]              3.18   0.009  0.363  2.564  2.926  3.146    3.4  3.971   1546  1.001
G[4]             2.861   0.017  0.691  1.664  2.341   2.83  3.335  4.268   1600  1.002
G[5]             3.078   0.015  0.641  1.762  2.657  3.078   3.51  4.312   1814  1.002
G[6]             2.524   0.006  0.216  2.118  2.367  2.525  2.675  2.946   1130  1.005
G[7]             3.208   0.027  0.632  1.814  2.806  3.213  3.622  4.449  546.0   1.01
G[8]             3.191    0.03  0.622  1.841  2.779  3.191  3.602  4.421  417.0  1.013
G[9]             2.306   0.254   0.37  1.622    2.0  2.467  2.562   2.71    2.0  3.886
G[10]            3.296   0.008  0.301  2.805  3.089  3.262  3.464  3.994   1352  1.009
G[11]            2.392   0.004   0.14  2.136  2.291  2.387  2.486  2.683   1427  1.002
G[12]              3.4   0.023  0.572  2.151  3.081  3.418  3.758  4.461  645.0  1.003
G[13]            2.329   0.005  0.165  2.097  2.208  2.301  2.418  2.705   1081  1.004
G[14]             2.39   0.004   0.14  2.136   2.29  2.386  2.484  2.677   1445  1.002
G[15]             2.73   0.016  0.517  1.785   2.36   2.75  3.076  3.748   1051  1.001
G[16]            2.926   0.004   0.18  2.646  2.801  2.901  3.024  3.354   1840  1.003
G[17]            2.519   0.081  0.487  2.107  2.263  2.409  2.588  4.315   36.0  1.111
G[18]            2.522   0.006  0.218  2.123  2.363   2.52  2.674  2.955   1196  1.005
G[19]            2.437   0.026  0.263  1.658  2.395  2.494  2.583   2.77  105.0  1.044
G[20]            3.285   0.007  0.294  2.794  3.079  3.254  3.456  3.953   1623  1.003
G[21]            2.248   0.008  0.201  1.751  2.154  2.289  2.386  2.543  655.0  1.003
G[22]            2.142   0.096  0.222  1.739  1.925  2.177  2.291  2.532    5.0  1.473
G[23]            2.325   0.006  0.169  2.089    2.2  2.297  2.417  2.716  909.0  1.004
G[24]             2.33   0.007  0.183  2.089  2.203  2.299  2.419  2.743  683.0  1.004
G[25]            3.444    0.02  0.633  2.114  3.076  3.469  3.858  4.597   1043  1.005
G[26]            2.849   0.016  0.689  1.663  2.338  2.814  3.315  4.262   1751    1.0
G[27]            2.161   0.002  0.071  2.055  2.108   2.15  2.202  2.325   1478  1.005
G[28]            2.922   0.004  0.183  2.637  2.795  2.897  3.019  3.349   1834  1.004
G[29]            2.487   0.002  0.107  2.276  2.416  2.486  2.557  2.698   1902  1.003
G[30]            2.934   0.004  0.177  2.631  2.813  2.919  3.036  3.333   2001  1.001
G[31]             4.39   0.011  0.383   3.68  4.122  4.375  4.645  5.167   1206  1.001
G[32]            3.216 3.03e-4  0.016  3.187  3.205  3.216  3.226  3.247   2623  1.002
G[33]            2.422   0.285  0.503  1.586  1.997  2.438   2.76  3.423    3.0  1.658
G[34]            2.059    0.22  0.383  1.602  1.746  1.866  2.402  2.823    3.0    2.1
G[35]            4.174  7.4e-4  0.035  4.108   4.15  4.173  4.197  4.244   2174  1.001
G[36]             2.93   0.004   0.18  2.626  2.809  2.912   3.03  3.335   2080  1.004
G[37]            3.282   0.007  0.287  2.802  3.086  3.254  3.446  3.924   1482  1.005
G[38]            3.235   0.786  1.202  1.245    2.0  3.731  4.103  4.772    2.0  2.595
G[39]            2.802   0.003  0.133  2.564   2.71  2.794  2.885   3.09   1740  1.003
G[40]            2.401   0.286  0.473  1.575  2.009  2.484  2.714  3.265    3.0  1.887
G[41]             2.89   0.017  0.685   1.69  2.376   2.87  3.357  4.272   1655  1.003
G[42]            2.487   0.002  0.107  2.276  2.416  2.487  2.558  2.695   2021  1.002
G[43]             2.44   0.026  0.252  1.667  2.393  2.491  2.581  2.762   92.0  1.053
G[44]            4.173  6.7e-4  0.034  4.108   4.15  4.172  4.196  4.244   2647  1.003
G[45]             2.47   0.013  0.385    1.8  2.159   2.47  2.751  3.214  891.0  1.003
G[46]            2.134   0.015  0.206  1.754  1.949  2.158  2.273  2.514  187.0  1.025
G[47]            2.624   0.011  0.366  2.123  2.326  2.561  2.866  3.449   1028  1.003
G[48]            3.061   0.022  0.558  1.641   2.75   3.07  3.407  4.131  658.0  1.004
G[49]            2.934   0.004  0.179  2.635  2.813  2.916  3.035  3.324   1655  1.003
G[50]            2.732   0.015  0.515  1.767  2.359  2.755  3.083  3.726   1173  1.002
G[51]            3.735   0.011  0.375   3.11  3.464  3.696   3.97  4.554   1177  1.004
G[52]            2.051   0.154  0.239  1.708  1.847  1.982  2.245  2.509    2.0  2.357
G[53]            3.424   0.039  0.698  1.377  3.139  3.486  3.842  4.594  327.0  1.008
G[54]            3.618   0.968  1.396  1.212  2.255  4.241   4.53    5.1    2.0  4.929
G[55]            2.495   0.025  0.494  1.725   2.19  2.399  2.712  3.693  401.0   1.02
G[56]            3.514   0.007  0.355  2.868  3.267    3.5  3.744  4.254   2566  1.002
G[57]            2.925   0.005  0.187   2.64  2.796  2.896  3.024  3.372   1619  1.003
G[58]            2.641    0.01    0.3  2.141  2.434  2.611  2.806  3.349  923.0  1.005
G[59]            3.262   0.006  0.326   2.71  3.041  3.231  3.449  3.988   2647  1.002
G[60]            1.893   0.245  0.352  1.609  1.665  1.711  2.037   2.62    2.0  5.229
G[61]            2.482   0.008  0.238  2.133  2.321  2.458  2.601  2.987  826.0  1.006
G[62]             3.19    0.01  0.377  2.547  2.929  3.151   3.41  4.039   1451  1.001
epsilon_std[1]  -0.878   0.016  0.189 -1.269 -1.003 -0.873 -0.745 -0.525  148.0  1.025
epsilon_std[2]     1.4   0.015  0.196  0.988   1.27  1.406  1.537  1.767  164.0  1.024
epsilon_std[3]   1.397   0.015  0.199  0.981  1.264  1.403  1.534  1.771  166.0  1.019
epsilon_std[4]   0.284   0.024  0.374 -0.481   0.04  0.294  0.534  1.008  237.0  1.009
epsilon_std[5]  -0.189   0.024  0.384 -0.916 -0.457 -0.191  0.075  0.577  256.0   1.02
epsilon_std[6]   -0.83   0.015   0.26 -1.356   -1.0  -0.83 -0.655 -0.326  283.0   1.01
epsilon_std[7]  -0.177   0.017  0.219  -0.63 -0.316  -0.17 -0.034  0.242  158.0  1.009
epsilon_std[8]   -0.17   0.018  0.217 -0.615 -0.309 -0.165 -0.026  0.245  145.0  1.011
epsilon_std[9]  -1.301   0.016  0.251   -1.8 -1.473 -1.298 -1.127 -0.806  239.0  1.021
epsilon_std[10] -0.375   0.015  0.157 -0.702 -0.477 -0.369 -0.267 -0.081  116.0   1.02
epsilon_std[11] -1.282   0.016   0.22 -1.723  -1.43 -1.277 -1.131 -0.862  200.0  1.018
epsilon_std[12] -1.076   0.014  0.214 -1.496 -1.222 -1.074 -0.924 -0.675  219.0  1.025
epsilon_std[13] -0.874   0.012   0.19 -1.263 -0.998 -0.867 -0.743 -0.516  242.0  1.023
epsilon_std[14] -1.252   0.014  0.218 -1.706 -1.394 -1.247 -1.097 -0.848  252.0  1.024
epsilon_std[15]  0.072   0.021  0.338 -0.603 -0.152  0.065  0.298  0.736  264.0   1.02
epsilon_std[16]  1.176   0.015  0.216  0.751  1.028  1.177  1.323  1.601  205.0   1.02
epsilon_std[17]  1.201   0.016  0.241  0.722  1.042  1.204  1.364  1.676  218.0  1.018
epsilon_std[18] -0.838   0.018  0.271 -1.397 -1.011 -0.829 -0.652 -0.327  216.0   1.01
epsilon_std[19]  1.372   0.015  0.199  0.955  1.241  1.379  1.509  1.752  167.0  1.018
epsilon_std[20] -0.375   0.014  0.156 -0.713 -0.474 -0.369 -0.268 -0.086  116.0   1.02
epsilon_std[21] -0.923   0.015  0.214  -1.37 -1.064 -0.917 -0.771 -0.528  210.0  1.011
epsilon_std[22] -0.675   0.013  0.182 -1.049 -0.794 -0.667 -0.552 -0.333  184.0  1.018
epsilon_std[23] -0.868   0.016  0.203 -1.276 -1.003 -0.861 -0.729 -0.485  167.0  1.014
epsilon_std[24] -0.873   0.014  0.197 -1.276 -1.001 -0.864 -0.732 -0.513  212.0   1.02
epsilon_std[25]   0.39   0.024  0.358 -0.325  0.149  0.393  0.636  1.075  215.0  1.004
epsilon_std[26] -0.162   0.017  0.251 -0.666 -0.327 -0.156  0.009  0.311  218.0   1.01
epsilon_std[27]  1.352   0.016  0.224  0.903  1.204  1.358  1.504  1.785  186.0  1.022
epsilon_std[28]  1.181   0.015  0.219  0.748  1.035  1.181  1.328  1.606  220.0  1.013
epsilon_std[29]  1.312   0.016  0.213  0.889  1.169  1.313  1.454  1.728  187.0   1.02
epsilon_std[30] -0.655   0.013  0.212  -1.06 -0.802 -0.656 -0.507 -0.241  252.0  1.009
epsilon_std[31] -0.542   0.017  0.327 -1.201 -0.757 -0.536 -0.321   0.08  354.0  1.007
epsilon_std[32] -1.909   0.017  0.304 -2.515 -2.107 -1.909 -1.707 -1.311  306.0  1.018
epsilon_std[33] -0.602   0.015   0.27 -1.163 -0.776 -0.594  -0.42 -0.093  334.0  1.005
epsilon_std[34]  1.131   0.015  0.217  0.701  0.986  1.135  1.279  1.549  196.0  1.024
epsilon_std[35]  1.448   0.015  0.203  1.024  1.315  1.452  1.587  1.841  176.0   1.02
epsilon_std[36] -0.643   0.017   0.22  -1.09 -0.789 -0.637 -0.491 -0.228  169.0  1.019
