kic,dnu,numax,epsilon,alpha,A,G,phi,tau,FeH,Teff,ES,e_eps,e_al,e_A,e_G,e_phi,e_tau
9906278,4.640606136640001,44.798190868199995,0.010187442166899999,0.014187600202899999,0.0383236317222,2.5467947211400004,1.0851930163799999,10.1154881016,0.113,4821.7,RC,0.017,0.002,0.006999999999999999,0.21899999999999997,0.377,3.805
12118044,5.86754189875,64.6576145385,0.0472863488624,0.0139466741677,0.0257196146422,3.27490770041,0.7473217836839999,10.1620399636,0.059,4937.8,RC,0.013000000000000001,0.001,0.003,0.284,0.321,3.603
11767058,5.33037290458,54.746284000699994,0.06840036532390001,0.00690326373592,0.0339474462818,3.13105239293,0.47867938127400006,8.49482360525,-0.071,4947.2,RC,0.012,0.001,0.004,0.131,0.187,3.662
9713083,4.48607675655,41.2246446215,-0.020184306835599998,0.0172576837309,0.040713965833400007,2.79887208677,0.969673433479,8.717158986760001,0.045,4810.3,RC,0.016,0.002,0.005,0.213,0.22399999999999998,3.725
11508970,3.9355109021599994,34.0000986967,-0.025292668412,0.0156439803946,0.0366399821289,2.37448829859,0.0128874005553,8.34438794169,-0.103,4841.8,RC,0.015,0.002,0.006,0.3,0.5329999999999999,4.051
7108501,4.80098749738,50.55930605,0.036468873150400004,0.00995376158652,0.027731661449599997,2.991456359,0.693282542861,11.336920024300001,-0.123,4984.5,RC,0.013999999999999999,0.001,0.004,0.231,0.29600000000000004,3.343
7744204,5.134976824280001,52.9249160135,0.07402641408989999,0.00717877888007,0.0514145232954,3.06102019222,0.839108986815,13.2699044176,0.097,4879.5,RC,0.012,0.001,0.006,0.07400000000000001,0.22,3.159
4143460,4.26695834044,40.1443374156,-0.023169470501999998,0.0126730209394,0.0314536476613,3.43142421635,-0.12092489617499999,11.173529928099999,-0.217,4817.7,RC,0.016,0.002,0.005,0.263,0.231,3.395
9904563,4.25126254234,37.9782459455,-0.0333560489445,0.0128739038751,0.0366627915916,2.8985979156299995,0.285240734559,8.999704415910001,0.022,4824.5,RC,0.018000000000000002,0.002,0.006,0.198,0.35100000000000003,3.8
9700899,3.9347858344300004,33.0198219142,-0.039280804677,0.0127226425299,0.0391603506326,3.1188244901599997,-0.736340464379,10.6328557999,0.046,4714.7,RC,0.015,0.002,0.005,0.221,0.233,3.635
10286616,3.9867475287,32.7744960098,-0.0332827910709,0.0143172214481,0.0444518004253,3.19601226597,-0.841500049756,10.1898875261,-0.327,4799.2,RC,0.02,0.003,0.006999999999999999,0.267,0.28600000000000003,3.736
11721438,8.52514812693,109.67962936299999,0.11825464018300001,0.00862249799022,0.0156334502187,3.6349566858999998,1.7564705540599999,7.9184572178399995,0.173,4975.6,RC,0.011000000000000001,0.0005,0.003,0.29,0.34,3.5810000000000004
8081535,4.56322442656,42.064388133200005,-0.00707232299858,0.0155081676462,0.036170179123999995,3.0922190947500003,0.5349240934489999,8.582127237189999,0.182,4770.4,RC,0.016,0.002,0.005,0.259,0.19399999999999998,3.6630000000000003
10918731,4.58869962369,45.673937841800004,-0.0027686901854000003,0.0122650299485,0.027481558152799998,3.4304571776099997,-0.1386548022295866,9.98621770536,0.289,4700.6,RC,0.013999999999999999,0.001,0.004,0.22699999999999998,0.122,3.588
12067001,4.48721056503,43.240310756099994,0.0154351036634,0.0118504350922,0.029706304492200002,3.7011270089199995,0.476723641294,10.1030625762,-0.203,4926.5,RC,0.016,0.002,0.004,0.33799999999999997,0.272,3.6430000000000002
3942203,4.16594199809,34.9685198785,-0.0266747835153,0.0124717172419,0.0331481263267,3.1733468179299997,-0.602868722011,9.56638943784,-0.007,4764.0,RC,0.016,0.002,0.004,0.38,0.308,3.7889999999999997
10394570,3.98881922308,33.5369673818,-0.052849503400400004,0.011110384595700002,0.035286020076099996,3.4510907109699995,-0.277561077682,8.185243803230001,0.236,4727.0,RC,0.018000000000000002,0.002,0.005,0.627,0.382,4.038
4764420,4.321531530450001,39.4755358553,-0.011936410163399998,0.0114319336709,0.039742529433199995,3.0846552305699997,0.33488320193000004,9.782993826030001,0.177,4749.3,RC,0.016,0.002,0.005,0.149,0.21600000000000003,3.6310000000000002
4241369,5.632773341469999,60.5668103925,0.0777667871021,0.00475245057325,0.0265228260096,3.87229012259,-0.0564866239212,4.14526020121,0.02,4945.8,RC,0.012,0.002,0.004,0.213,0.253,2.155
3529597,4.854329391169999,51.588366935699995,0.055696417322199994,0.00780216998016,0.0334129696717,3.18493814607,0.7179729123999999,13.0761755693,0.103,4876.3,RC,0.012,0.0008,0.004,0.13,0.20600000000000002,3.247
10983401,7.693583767939999,93.9351409326,0.126221287213,0.00925655380538,0.0216913517821,3.1274475234500003,1.72011654314,9.70750851273,0.175,5004.0,RC,0.012,0.0009,0.004,0.38299999999999995,0.414,3.6069999999999998
9662343,4.63441960066,43.39106578609999,0.0108159560302,0.013860804128,0.0329719462271,3.11281856652,0.425409130543,8.76371975329,-0.119,4916.6,RC,0.016,0.002,0.005,0.325,0.261,3.742
4039306,4.12309093519,33.5726721439,0.000636153657564,0.0133662115608,0.033335158419,3.3832129182700004,-0.150778111708,10.8638819884,-0.054,4815.1,RC,0.013000000000000001,0.002,0.005,0.32,0.21100000000000002,3.4539999999999997
4937257,4.12392104762,34.8354199584,-0.0294823172394,0.0150475832161,0.0350000141817,2.74985258824,0.217495900986,10.2591265116,0.136,4754.1,RC,0.017,0.002,0.006,0.267,0.373,3.739
9518506,4.98160380514,50.2973437456,0.0176786025598,0.0110755671223,0.0313334200912,2.7459552282099997,1.11737266559,10.851839234200002,-0.026,4921.0,RC,0.013999999999999999,0.001,0.004,0.155,0.271,3.583
9825039,8.3862887265,103.336022274,0.130274353326,0.0101905545187,0.023335246027599996,3.38229870204,1.4261599864200003,8.11183940074,-0.024,5075.9,RC,0.011000000000000001,0.001,0.003,0.249,0.20199999999999999,3.5260000000000002
8607581,4.2573633502399995,35.904392293,-0.00621793337295,0.00941665290669,0.0399742973843,3.22101180878,-0.478363973979,11.2974060156,-0.194,4901.5,RC,0.015,0.002,0.004,0.203,0.221,3.5210000000000004
9724324,4.6030262432099995,41.6147766543,-0.0390036838155,0.007809452876170001,0.08616493474189998,4.20972273447,0.197923775128,15.506306074300001,-0.157,4821.4,RC,0.015,0.002,0.008,0.14300000000000002,0.11800000000000001,3.031
7190047,3.8748464541800005,30.115208791799997,-0.020473529353,0.0108436752871,0.04615830369440001,2.86220232994,0.0160241500811,9.240192608010002,0.002,4665.6,RC,0.016,0.002,0.006,0.157,0.295,3.81
8962844,4.5056584154,41.497677649699995,-0.020640656367099997,0.0115206046865,0.0336530351609,2.8378620354,0.644310059209,7.03102479734,0.048,4791.4,RC,0.013999999999999999,0.002,0.005,0.26,0.386,3.4730000000000003
11970987,4.65306571484,43.9836077346,0.0125106113161,0.0119187069766,0.0354126927817,2.7117456557499997,0.497195486972,9.176683803689999,-0.042,4899.7,RC,0.013999999999999999,0.001,0.006,0.213,0.295,3.8
3425476,4.40222855639,40.034641666199995,0.007679398565569999,0.0141791944296,0.0356685860515,2.84106054785,0.35602955792700003,7.96090400221,0.057,4827.5,RC,0.015,0.001,0.005,0.193,0.287,3.722
9406638,4.3513627575900005,38.3057182278,0.14341211373600002,-0.0018898981307100002,0.112687398853,2.36838588677,1.6437988179095866,18.9032033402,-0.361,4694.2,RGB(S),0.024,0.005,0.055,1.012,0.6409999999999999,3.082
4448636,3.9832824033599996,33.4608819586,-0.0587918457761,0.017778735417,0.0373990117306,2.63265248102,0.0210594259925,9.869800687889999,0.351,4578.7,RC,0.016,0.002,0.006,0.201,0.33,3.85
9718024,4.11524351772,34.0423383574,-0.020500026855599998,0.012792314245899999,0.036361427262499996,3.1274596398299996,-0.916701040281,10.4328341769,-0.395,4922.5,RC,0.018000000000000002,0.003,0.005,0.297,0.282,3.682
11044315,5.22803476144,60.6900789616,-0.019085829225900002,0.008011365403790001,0.0261207946971,3.6557946171599998,-0.005605151809489999,10.1134906114,-0.008,5084.6,RC,0.013999999999999999,0.001,0.005,0.541,0.5539999999999999,3.627
11775398,3.99637702245,32.2809755197,0.00013365549363600002,0.0130689740994,0.0319074685559,3.7210770659699994,-0.31613398064,7.3256549523,0.096,4696.7,RC,0.023,0.003,0.005,0.561,0.838,4.3469999999999995
