Inference for Stan model: anon_model_893ae0f30707a4f59ccad73c820dc14f.
4 chains, each with iter=90000; warmup=45000; thin=1; 
post-warmup draws per chain=45000, total post-warmup draws=180000.

              mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
numax[51]   104.07  3.9e-3   0.24  103.6 103.91 104.07 104.23 104.54 3848.0    1.0
numax[52]    61.91    0.02   0.73  60.48  61.42  61.91   62.4  63.36 2351.0    1.0
numax[53]    55.52  7.4e-3   0.38  54.77  55.26  55.52  55.77  56.25 2635.0    1.0
numax[54]    50.48  3.3e-3   0.21  50.07  50.34  50.48  50.62  50.89 4088.0    1.0
numax[55]    76.55  7.5e-3   0.43   75.7  76.26  76.55  76.84   77.4 3328.0    1.0
numax[56]    73.03  4.6e-3   0.28  72.48  72.84  73.03  73.22  73.57 3660.0    1.0
numax[57]    61.06  4.8e-3   0.29  60.48  60.86  61.06  61.26  61.63 3699.0    1.0
numax[58]     57.6  6.5e-3   0.33  56.96  57.38   57.6  57.83  58.26 2622.0    1.0
numax[59]    61.97  5.4e-3   0.31  61.37  61.77  61.97  62.18  62.58 3322.0    1.0
numax[60]    61.63  6.3e-3   0.38  60.89  61.37  61.63  61.88  62.36 3606.0    1.0
numax[61]    52.52    0.01   0.58  51.37  52.12  52.52  52.91  53.66 3078.0    1.0
numax[62]    60.25  7.3e-3   0.43  59.39  59.95  60.25  60.54  61.09 3488.0    1.0
numax[63]    64.33  4.2e-3   0.29  63.77  64.14  64.33  64.53   64.9 4714.0    1.0
numax[64]    51.04  5.3e-3   0.31  50.43  50.83  51.04  51.25  51.65 3365.0    1.0
numax[65]   103.17  8.0e-3   0.45 102.27 102.87 103.17 103.48 104.05 3218.0    1.0
numax[66]    50.49  3.5e-3   0.21  50.07  50.34  50.49  50.63   50.9 3791.0    1.0
numax[67]     47.5  5.1e-3   0.28  46.95  47.32   47.5  47.69  48.05 2991.0    1.0
numax[68]    56.64  3.2e-3   0.21  56.23  56.49  56.63  56.78  57.04 4062.0    1.0
numax[69]    52.41  5.4e-3    0.3  51.81   52.2  52.41  52.61   53.0 3191.0    1.0
numax[70]    81.44    0.02   0.85  79.75  80.87  81.44  82.01   83.1 2087.0    1.0
numax[71]     47.6  5.9e-3   0.31  46.99  47.39   47.6  47.81  48.21 2832.0    1.0
numax[72]     61.5  5.5e-3    0.3  60.91   61.3   61.5  61.71   62.1 3016.0    1.0
