Inference for Stan model: anon_model_44e3c749f7a7110bcaebb3c656940e7c.
4 chains, each with iter=48000; warmup=24000; thin=1; 
post-warmup draws per chain=24000, total post-warmup draws=96000.

              mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
eps_std[28] -0.221   0.005    0.7 -1.596 -0.692 -0.222  0.249  1.156  17883    1.0
eps_std[29] -0.418   0.005  0.756 -1.887 -0.925 -0.425   0.08  1.095  20332    1.0
eps_std[30]  0.954   0.004  0.541 -0.079  0.587   0.94  1.308   2.05  21311  1.001
eps_std[31] -0.604   0.003  0.412 -1.443 -0.871 -0.594 -0.327  0.185  18972    1.0
eps_std[32]   1.84   0.004  0.547  0.834  1.461  1.815  2.194  2.979  15648    1.0
eps_std[33] -0.263   0.004  0.513 -1.269 -0.603 -0.265  0.073  0.758  18571    1.0
eps_std[34]  0.236   0.006   0.83 -1.394  -0.32  0.237   0.79  1.855  17956    1.0
eps_std[35]  -0.88   0.004  0.605 -2.029 -1.288 -0.893 -0.494  0.363  20347    1.0
eps_std[36] -0.226   0.006  0.797 -1.787 -0.762 -0.229   0.31  1.337  18113    1.0
eps_std[37]  0.205   0.006  0.852 -1.467 -0.364  0.201  0.779  1.887  18978    1.0
eps_sig      0.041 7.91e-5  0.008  0.027  0.035   0.04  0.046  0.059  10559  1.001
epsA        -0.304 5.08e-4  0.048 -0.396 -0.336 -0.304 -0.272 -0.206   9093  1.001
epsB          0.22 2.95e-4  0.028  0.164  0.202  0.221  0.239  0.274   8948  1.001
al_std[1]   -0.739   0.003   0.49 -1.683 -1.065 -0.745 -0.424  0.252  27991    1.0
al_std[2]    0.092   0.004   0.75 -1.322 -0.423  0.074  0.586  1.613  31900    1.0
al_std[3]   -0.763   0.003  0.588 -1.912 -1.153  -0.77 -0.382  0.428  30654    1.0
al_std[4]    0.072   0.003  0.508 -0.877 -0.272  0.052  0.391  1.129  30349    1.0
al_std[5]    0.512   0.003  0.529 -0.471  0.153  0.491  0.851  1.613  37103    1.0
al_std[6]   -0.072   0.004  0.676 -1.415 -0.512 -0.075  0.368  1.272  31802    1.0
al_std[7]    -1.58   0.003  0.467 -2.551 -1.882 -1.562 -1.258 -0.721  33524    1.0
al_std[8]   -0.131   0.003  0.475 -1.052 -0.447 -0.138  0.177  0.826  33728    1.0
al_std[9]   -0.127   0.003  0.576 -1.281   -0.5 -0.122  0.252  0.998  35072    1.0
al_std[10]   0.348   0.006  0.757 -1.229 -0.131  0.377  0.854  1.783  18556    1.0
al_std[11]  -1.481   0.003  0.409 -2.345 -1.739  -1.46 -1.199  -0.74  24602  1.001
al_std[12]   0.628   0.005   0.98 -1.285 -0.033   0.62  1.287  2.564  38178    1.0
al_std[13]   0.513   0.003  0.604 -0.646   0.11  0.499  0.906  1.741  48409    1.0
al_std[14]  -0.348   0.002  0.439 -1.221 -0.635 -0.346 -0.059  0.517  38550    1.0
al_std[15]   0.125   0.003  0.537 -0.932 -0.228  0.123  0.477  1.184  34682  1.001
al_std[16]   0.569   0.003   0.66 -0.731   0.13  0.568  1.007  1.869  52253    1.0
