Inference for Stan model: anon_model_6164d8efe974107dc2b96f1559771960.
4 chains, each with iter=15000; warmup=7500; thin=1; 
post-warmup draws per chain=7500, total post-warmup draws=30000.

                  mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
phi[20]           1.52    0.35   0.54   0.89   1.15   1.31   1.72   2.78    2.0   2.57
phi[21]            1.7    0.01   0.25    1.2   1.54   1.71   1.87   2.19  589.0   1.01
phi[22]           1.07    0.47   0.72    0.2   0.58    0.8   1.36   2.66    2.0    2.6
phi[23]           2.43  6.9e-3   0.17    2.1   2.32   2.43   2.54   2.75  587.0   1.01
phi[24]           2.73    0.53   0.81   1.35   1.99   2.81   3.49   3.88    2.0   2.58
phi[25]          -0.36     0.2   0.28  -0.69  -0.64  -0.35  -0.08  -0.03    2.0  10.42
phi[26]           0.94  6.1e-3   0.16    0.6   0.84   0.95   1.06   1.24  703.0   1.01
phi[27]           1.67    0.02   0.32   0.95    1.5   1.68   1.87    2.3  346.0   1.01
phi[28]           0.24  9.4e-3   0.25   -0.3   0.08   0.25   0.41   0.72  734.0   1.01
phi[29]           0.67  8.1e-3   0.19    0.3   0.54   0.67    0.8   1.04  548.0    1.0
phi[30]           1.29    0.02    0.3   0.78    1.1   1.27   1.45   1.94  284.0   1.01
phi[31]           0.21  8.5e-3   0.23  -0.25   0.06   0.21   0.36   0.67  761.0   1.01
phi[32]           1.72  8.3e-3   0.17   1.34   1.62   1.73   1.84   2.05  435.0   1.01
phi[33]           2.62    0.02   0.46   1.66   2.37   2.63   2.89   3.49  337.0   1.01
phi[34]           2.03  5.3e-3   0.12   1.79   1.95   2.04   2.12   2.27  525.0    1.0
phi[35]           1.53  9.4e-3   0.22   1.11   1.37   1.53   1.68   1.97  556.0   1.01
phi[36]           1.13    0.02   0.35   0.48   0.88   1.13   1.37   1.82  509.0    1.0
phi[37]           1.76  8.5e-3   0.24   1.28   1.61   1.77   1.92    2.2  774.0   1.01
phi[38]           2.41  8.6e-3   0.21   2.01   2.26    2.4   2.55   2.83  601.0   1.01
phi[39]           1.33    0.04   0.68  -0.03    0.8    1.5   1.83   2.37  369.0   1.01
phi[40]           2.07  6.6e-3   0.19   1.69   1.94   2.07   2.19   2.42  805.0    1.0
phi[41]            2.4  8.3e-3   0.18   2.07   2.28    2.4   2.52   2.75  451.0   1.01
phi[42]            2.4  8.8e-3   0.17   2.08   2.28   2.39   2.51   2.75  387.0   1.01
phi[43]           1.85  6.6e-3   0.19   1.48   1.73   1.85   1.98   2.21  829.0    1.0
phi[44]           1.99     0.6   0.89   0.38    1.0   2.35   2.62   3.01    2.0   3.38
phi[45]           1.43  8.2e-3   0.23   0.97   1.28   1.43   1.58   1.86  763.0   1.01
phi[46]           1.15  8.5e-3   0.21   0.75    1.0   1.14   1.29   1.57  629.0   1.01
phi[47]           1.31    0.01   0.24   0.81   1.15   1.31   1.47   1.77  523.0   1.01
phi[48]           2.39  6.3e-3   0.14   2.12    2.3   2.38   2.48   2.65  471.0   1.01
phi[49]           1.32    0.03   0.39   0.67   1.07   1.29   1.52   2.15  157.0   1.04
phi[50]           0.84    0.52   0.77   0.06   0.34   0.51   1.04   2.56    2.0    3.3
G[1]              2.96  3.0e-3   0.09   2.78    2.9   2.96   3.02   3.15  999.0    1.0
G[2]              2.59    0.04   0.31   1.63    2.5   2.63   2.77   3.08   64.0   1.06
G[3]              3.45    0.03   0.64   2.35   3.01   3.36   3.84   4.88  383.0   1.02
G[4]              4.17    0.01   0.29   3.69   3.97   4.14   4.33   4.82  824.0    1.0
G[5]               4.3    0.02   0.47   3.51   3.97   4.27    4.6   5.27  358.0   1.01
G[6]              4.11    0.01   0.38   3.45   3.85   4.07   4.34   4.97  732.0   1.02
G[7]              3.29  7.6e-3    0.2   2.87   3.17   3.29   3.41   3.68  672.0    1.0
G[8]               3.2  9.9e-3   0.23   2.85   3.04   3.16   3.32   3.75  524.0   1.01
G[9]              2.58  3.3e-3    0.1    2.4   2.51   2.57   2.64   2.78  846.0    1.0
G[10]             2.77    0.02   0.41   2.14   2.47   2.71    3.0   3.75  305.0   1.03
G[11]             2.89  4.0e-3   0.11   2.71   2.81   2.88   2.95   3.14  755.0    1.0
G[12]             3.61  7.2e-3   0.22   3.22   3.46   3.59   3.74   4.07  915.0    1.0
G[13]             3.51    0.02   0.46   2.71   3.19   3.48   3.81   4.49  677.0    1.0
G[14]             3.47  9.8e-3   0.29   2.96   3.27   3.45   3.64   4.09  843.0   1.01
G[15]              2.6    0.03   0.25   1.82   2.49   2.61   2.73   3.03   82.0   1.06
G[16]              2.3  6.6e-3   0.11   2.09   2.23    2.3   2.38    2.5  268.0   1.02
G[17]             2.43  4.2e-3    0.1   2.21   2.37   2.43    2.5   2.62  563.0   1.02
G[18]             2.23  5.0e-3   0.11   2.06   2.14   2.21    2.3   2.49  512.0   1.01
G[19]             3.08  4.6e-3   0.09   2.91   3.02   3.08   3.14   3.29  413.0   1.03
G[20]              2.5    0.37   0.54   1.52    2.0   2.74   2.87   3.09    2.0   4.18
G[21]             2.45    0.01   0.22   2.11   2.28   2.43    2.6   2.93  459.0   1.02
G[22]             2.61    0.44   0.65   1.46   1.99   2.89   3.07   3.33    2.0   3.67
G[23]             2.59  4.2e-3   0.11   2.37   2.52   2.59   2.66   2.82  739.0   1.01
G[24]             2.79    1.07   1.53   1.23   1.27   2.36   4.29   4.89    2.0   6.71
G[25]             2.52    0.27   0.39   2.11   2.13   2.51    2.9   2.93    2.0  28.27
G[26]             5.15    0.01   0.36   4.44   4.91   5.15   5.39   5.86  752.0    1.0
G[27]             3.28    0.03   0.58   2.23   2.86   3.26   3.67   4.47  424.0   1.01
G[28]             2.94  7.1e-3   0.18   2.54   2.84   2.96   3.06   3.26  625.0   1.01
G[29]             3.35  5.0e-3   0.14   3.12   3.25   3.33   3.42   3.67  793.0    1.0
G[30]             2.57    0.01   0.19   2.15   2.49   2.58   2.68   2.89  189.0   1.02
G[31]             3.59  9.4e-3   0.28   3.06    3.4   3.58   3.78   4.18  916.0    1.0
G[32]             2.31  4.9e-3    0.1   2.09   2.25   2.32   2.39   2.51  456.0   1.01
G[33]             2.62    1.04   1.72   1.11   1.18   1.23   4.51   5.35    3.0   2.78
G[34]             3.17  1.8e-3   0.06   3.05   3.13   3.16   3.21   3.29 1128.0    1.0
G[35]             2.27  5.9e-3   0.14   2.05   2.17   2.26   2.36   2.57  562.0   1.01
G[36]             3.15    0.01    0.3   2.64   2.93   3.11   3.35   3.79  512.0    1.0
G[37]              2.7  4.6e-3   0.14   2.46   2.61   2.69   2.78    3.0  886.0    1.0
G[38]             2.55    0.01   0.31   2.07   2.31   2.53   2.76   3.24  560.0   1.01
G[39]             2.87    0.03   0.46    2.3   2.53    2.7    3.2   3.91  337.0   1.01
